,thought,original_label,cleaned_thought
844,"I am unable to write the essay My laptop is crap! If only I had a better laptop, I could have been better at writing ", Negative feeling or emotion,unable write essay laptop crap better laptop could better writing
845,A student let me know they are struggling to grasp any of the concepts in class. Am I not explaining the material well? , All-or-nothing thinking,student let know struggling grasp concept class explaining material well
846,I'm failing school I'm worthless , Comparing and Despairing,im failing school im worthless
847,"I painted with my friends The color in their work is so much more vibrant, mine doesn't look this good ", Comparing and Despairing,painted friend color work much vibrant mine doesnt look good
848,Working on a project with Python and have not gotten it to successfully run. Why is it still messed up? , Disqualifying the Positive,working project python gotten successfully run still messed
849,I couldn't talk confidently with a stranger My parents are to blame for my lack of confidence , Blaming,couldnt talk confidently stranger parent blame lack confidence
850,I saw my best friend kissing with my long time crush No one cares about me , Negative feeling or emotion,saw best friend kissing long time crush one care
851,"A few days ago, I got angry at my husband's grandmother who lives next door for beeping her horn till I came out of the house and asking me to come to dinner. She doesn't respect me. ", Overgeneralizing,day ago got angry husband grandmother life next door beeping horn till came house asking come dinner doesnt respect
852,My girlfriend said I was a taker when I said she did not emotionally support me before going to a movie last Saturday. My girlfriend will leave me. , Fortune telling,girlfriend said taker said emotionally support going movie last saturday girlfriend leave
853,My boss pointed out an unintentional error in my work This work is a failure , All-or-nothing thinking,bos pointed unintentional error work work failure
854,last week i went in for a job interview that i thought went very well but then i didnt get the job ill never be able to find a good job , Fortune telling,last week went job interview thought went well didnt get job ill never able find good job
855,"Last week, my co-worker was invited to participate in a workshop and I was not. My co-worker is better than me. ", Comparing and Despairing,last week coworker invited participate workshop coworker better
856,"My relationship ended out of nowhere, constantly stressed about my job, i ever feel like be worth it to another person or to my friends unless they need something. I don’t feel like I’m worth it. ", All-or-nothing thinking,relationship ended nowhere constantly stressed job ever feel like worth another person friend unless need something dont feel like im worth
857,"My relationshi ended out of nowhere, constantly stressed about my job, i ever feel like be worth it to another person or to my friends unless they need something. I don’t feel like I’m worth it. ", Catastrophizing,relationshi ended nowhere constantly stressed job ever feel like worth another person friend unless need something dont feel like im worth
858,I got bad grades in the exam My teacher is the reason I'm not doing well , Blaming,got bad grade exam teacher reason im well
859,"I'm organizing a birthday party for my kid My niece's birthday party had twice the amount of people, our party will be rubbish in comparison ", Comparing and Despairing,im organizing birthday party kid niece birthday party twice amount people party rubbish comparison
860,I am walking down the street in a new red jeans and a stranger looked at the jeans I should have never worn these jeans and stick to blue ones , Should statements,walking street new red jean stranger looked jean never worn jean stick blue one
861,a girl i really liked would not go out on a date with me im not very attractive , All-or-nothing thinking,girl really liked would go date im attractive
862,"I made a joke that fell flat in front of someone I just met, and that person left the room. People will never perceive me as acting naturally in social situations. ", Fortune telling,made joke fell flat front someone met person left room people never perceive acting naturally social situation
863,The team captain on my gaming team approached me to try to remove me as the vice captain on the team citing that they didn't think I was doing enough to assist them. You hardly communicate what you need at all. How am I supposed to help? , Personalizing,team captain gaming team approached try remove vice captain team citing didnt think enough assist hardly communicate need supposed help
864,"I keep pushing myself towards new things. I keep working, studying, socializing, exercising. I'm doing far more thab anyonr I know and I still go to sleep every night, hoping I won't wake up. I'm everything I can and I still feel like shit ", Disqualifying the Positive,keep pushing towards new thing keep working studying socializing exercising im far thab anyonr know still go sleep every night hoping wont wake im everything still feel like shit
865,We are late to the dinner party The party is spoilt because of us , Personalizing,late dinner party party spoilt u
866,"I am at a party where I only know the host and the stranger I don't know why I was invited, I don't know anyone here ", Catastrophizing,party know host stranger dont know invited dont know anyone
867,Our marriage is lousy The reason my marriage is so lousy is because my husband is totally unreasonable , Blaming,marriage lousy reason marriage lousy husband totally unreasonable
868,I gave a present to my friend on her birthday My present was much smaller in size than the others , Comparing and Despairing,gave present friend birthday present much smaller size others
869,"My brother and I have been really getting into a lot of fights. This past weekend he blew up again because he thought I was talking over him, but he does it all the time to me. I was upset because of his temper tantrums again, it has been happening too much over the past few or more years. He is supposed to act like an adult now and he isn't. I can't really talk to him anymore because I fear that he will explode, although he does t anyways. I am so angry that he is such a hypocrite. He doesn't realize he is guilty of the same things he explodes about. ", Negative feeling or emotion,brother really getting lot fight past weekend blew thought talking time upset temper tantrum happening much past year supposed act like adult isnt cant really talk anymore fear explode although anyways angry hypocrite doesnt realize guilty thing explodes
870,Last week I talked to a girl at a bar but was rejected by her I am undesirable , Labeling,last week talked girl bar rejected undesirable
871,Nobody finds me attractive other then my boyfriend I am ugly , Negative feeling or emotion,nobody find attractive boyfriend ugly
872,i posted myself on instagram lack of self-worth , Comparing and Despairing,posted instagram lack selfworth
873,I sent my boyfriend several long text messages to which he responded with only one sentence. I'm worried I'm annoying my boyfriend. , Mind reading,sent boyfriend several long text message responded one sentence im worried im annoying boyfriend
874,I keep failing at everything. I feel like I need to die to be happy. , Disqualifying the Positive,keep failing everything feel like need die happy
875,They betrayed me. They made me suffer and made me sucidal and depressed and now they are enjoying their life. I want to take revenge , Blaming,betrayed made suffer made sucidal depressed enjoying life want take revenge
876,Just being alive. Living is boring and not worth it. Nothing makes me happy or has ever done so. If only i was more selfish i could end it. Doing basic tasks without the threat of making my life even worse is a struggle. , Overgeneralizing,alive living boring worth nothing make happy ever done selfish could end basic task without threat making life even worse struggle
877,"I feel as though I cannot do anything that is worth a damn. I dream of doing these wonderful things and yet, here I am on my overweight ass not doing anything. I'm mooching off my low-middle class parents with no regard to the future comsequences if I continue to stay at home doing nothing but sleeping and eating along with the occasional gaming or binging sessions. I have enormous self pity and self loathing for myself all the time. I fear of dying acconplishing nothing and yet don't care if I die at the same time. I also blame the world for making it impossible to live while also blaming myself. My life is hypocrisy incarnate. I'm worthless ", Should statements,feel though cannot anything worth damn dream wonderful thing yet overweight as anything im mooching lowmiddle class parent regard future comsequences continue stay home nothing sleeping eating along occasional gaming binging session enormous self pity self loathing time fear dying acconplishing nothing yet dont care die time also blame world making impossible live also blaming life hypocrisy incarnate im worthless
878,I hate my life Killing myself , Disqualifying the Positive,hate life killing
879,i am a ghost. i am dead. , Emotional reasoning,ghost dead
880,My friends don't help me when I ask them to help with my suicidal thoughts. I want to end my life. , Blaming,friend dont help ask help suicidal thought want end life
881,Depression that started a few years ago Suicidal thoughts , Negative feeling or emotion,depression started year ago suicidal thought
882,"The only people I have left are my 2 friends. It doesn't feel like my family cares, or even anyone else. I dont want my death to cause my own friends to do the same because they're also going through their own problems Deciding if I want to keep living. ", Disqualifying the Positive,people left friend doesnt feel like family care even anyone else dont want death cause friend theyre also going problem deciding want keep living
883,Everyday life is too hard and I hate it. I wish I wouldn’t wake up. , Disqualifying the Positive,everyday life hard hate wish wouldnt wake
884,I gained weight I hate myself and im a fat pig , Disqualifying the Positive,gained weight hate im fat pig
885,I think that I am fatter that everyone else but i am not I feel fat even though I have a strong build and I run alot , Disqualifying the Positive,think fatter everyone else feel fat even though strong build run alot
886,When I feel ugly and hate my self I will go crazy if I don't control my racing thoughts , Fortune telling,feel ugly hate self go crazy dont control racing thought
887,All of my relationship attempts have ended in failure I feel like I will never be loved in a romantic way because I am not very pretty , Labeling,relationship attempt ended failure feel like never loved romantic way pretty
888,"My sister looking amazing and me looking heinous, people at school being toxic Suicidal thoughts, cutting, depression(I think), wanting to die sometimes, having mental/emotional break downs at least three times per week ,being lonely despite being surrounded by people,hating my body/appearance, acts of suicide eg: holding a knife up to my chest and slicing my throat lightly with scissors or knife, comparing myself to others in a really toxic and non realistic way. ", Negative feeling or emotion,sister looking amazing looking heinous people school toxic suicidal thought cutting depressioni think wanting die sometimes mentalemotional break down least three time per week lonely despite surrounded peoplehating bodyappearance act suicide eg holding knife chest slicing throat lightly scissors knife comparing others really toxic non realistic way
889,I've made bad choices that could have harmed those close to me that I personally could never forgive. I don't deserve to get better. , Labeling,ive made bad choice could harmed close personally could never forgive dont deserve get better
890,I get thoughts that make me do crazy things but they’re actually somewhat logical and I doubt if I should resist them at all I will go crazy if I don't control my racing thoughts , Labeling,get thought make crazy thing theyre actually somewhat logical doubt resist go crazy dont control racing thought
891,Idk....drugs i guess Self harm and suicide , Negative feeling or emotion,idkdrugs guess self harm suicide
892,I'm spending too much time in hateful online forums. As a woman I am inferior to men in every way. , Comparing and Despairing,im spending much time hateful online forum woman inferior men every way
893,I have been struggling with a depressive episode and executive dysfunction. I haven't been keeping up with chores/responsibilities and hygiene as well as I should be. I can't do anything right. I am a disappointment. , Should statements,struggling depressive episode executive dysfunction havent keeping choresresponsibilities hygiene well cant anything right disappointment
894,"I stayed up for too long, and engaged in behaviors that, while not unethical, were physically taxing and brought me shame. I hate myself. ", Should statements,stayed long engaged behavior unethical physically taxing brought shame hate
895,I’m a drug addict I will go crazy if I don't control my racing thoughts , Fortune telling,im drug addict go crazy dont control racing thought
896,Because I randomly get angry and it's uncontrolled. I feel suicidal , Emotional reasoning,randomly get angry uncontrolled feel suicidal
897,secret drug use in my room My parents are judging me , Mind reading,secret drug use room parent judging
898,It's usually after I come home from work and having felt a lot of social anxiety I want to comfort myself with sugar. It's like a great relief and the only happy point in my day. I have a constant need to eat an excessive amount of sugary sweets/desserts. When I try to eat more healthily for a period of time the need is always worse when I fall back into old unhealthy patterns. Eating balanced feels impossible. , Should statements,usually come home work felt lot social anxiety want comfort sugar like great relief happy point day constant need eat excessive amount sugary sweetsdesserts try eat healthily period time need always worse fall back old unhealthy pattern eating balanced feel impossible
899,I was addicted to heroin. I don't have a job. , Disqualifying the Positive,addicted heroin dont job
900,"Constant thinking and reminder of past proximity to childhood sexual assault and the inability to know my own history. This body is not mine, it does not belong to me. There is no connection between it and me. ", Emotional reasoning,constant thinking reminder past proximity childhood sexual assault inability know history body mine belong connection
901,My father was being abusive to me I feel like people out there try to take advantage of me and also betray me . , Fortune telling,father abusive feel like people try take advantage also betray
902,going through toys that reminded me of the time period that id been abused for Getting abused was my fault , Blaming,going toy reminded time period id abused getting abused fault
903,"I was raped, abused and in pain I want to cease to exist as I am because I am emotionally and physically burnt out ", Negative feeling or emotion,raped abused pain want cease exist emotionally physically burnt
904,Lost best friend murdered this time of year a few years back. I'm worthless , Emotional reasoning,lost best friend murdered time year year back im worthless
905,I read an old journal entry about a time that I was abusive. I will never be in a healthy relationship. , Fortune telling,read old journal entry time abusive never healthy relationship
906,i do alot of stuff at home so much work and when my dad comes home from work it never seems enough for him and he spanks/beats us if we didnt do enough I'll never be able to do anything , Blaming,alot stuff home much work dad come home work never seems enough spanksbeats u didnt enough ill never able anything
907,"Fighting, arguing, anger outburst, feeling powerless Feeling guilty and trapped in an abusive relationship. It reflects on all aspects of my life. ", Overgeneralizing,fighting arguing anger outburst feeling powerless feeling guilty trapped abusive relationship reflects aspect life
908,Someone pushed me and made me bleed No one cares about me , Overgeneralizing,someone pushed made bleed one care
909,I didn't complete the tasks that I had written down earlier today. I'll never be able to do anything , Should statements,didnt complete task written earlier today ill never able anything
910,I feel slow in progress compared to friends in same age ranges I'm a failure , Comparing and Despairing,feel slow progress compared friend age range im failure
911,I really don't know I will go crazy if I don't control my racing thoughts , Negative feeling or emotion,really dont know go crazy dont control racing thought
912,I accidentally fell asleep I will go crazy if I don't control my racing thoughts , Catastrophizing,accidentally fell asleep go crazy dont control racing thought
913,I don’t do anything of value I'm a failure , Disqualifying the Positive,dont anything value im failure
914,"There's no situation that leads to this. It's how I live everyday I feel uncomfortable, I have repeating thoughts, I'm always tired, and I feel like I can't think logically and I'm numb. ", Negative feeling or emotion,there situation lead live everyday feel uncomfortable repeating thought im always tired feel like cant think logically im numb
915,I failed in everything I'm a failure , Labeling,failed everything im failure
916,I need to sell my home I am a financial failure , Disqualifying the Positive,need sell home financial failure
917,"Not having made rent and having to borrow money from my already in debt mother. I am a failure, I have no friends and am a coward, who loses at everything and is still a virgin. Fuck I suck so much, its embarrassing. ", Labeling,made rent borrow money already debt mother failure friend coward loses everything still virgin fuck suck much embarrassing
918,I’m a loser I hate myself and I’m ready to die , Labeling,im loser hate im ready die
919,People around me do not need my presence I'm worthless , Emotional reasoning,people around need presence im worthless
920,"I realize that I still don’t have anyone who I could spend time with, without having a really good excuse for it I’ve had many possibilities to make friendships, but no matter how I give myself to other people, they always settle for someone else. I’ve been used as an emotion trash bucket for other people’s problems and emotions without getting my own turn to share my worries off my shoulders. I’ve never had a friend who I could talk to, who could be there for me when I need them. I can’t help but just think that I’m somehow socially incapable or simply too difficult of a personality to be able to get and maintain friends ", Overgeneralizing,realize still dont anyone could spend time without really good excuse ive many possibility make friendship matter give people always settle someone else ive used emotion trash bucket people problem emotion without getting turn share worry shoulder ive never friend could talk could need cant help think im somehow socially incapable simply difficult personality able get maintain friend
921,People are always bullying me Everyone hates me , Overgeneralizing,people always bullying everyone hate
